farm,availableMW,y,windspeed,speed_rolling_lag1,speed_rolling_lag2,speed_rolling_n1,speed_rolling_n2,change_lag,change_n,windDic_cat,season,Months,windspeed_cat,preds
A,34.5,5.2253300000000005,224.54059475828865,197.15058658318958,208.04445846023796,228.62906914518365,227.28391304493877,0.07929139963708032,0.012217471364602162,SW,Winter,Dec,very_high,1.8256978
A,34.5,6.29334,230.39376177212873,198.16622484190472,209.4246184836414,228.47451649678678,227.79312811740283,0.10012740355129379,-0.011287778083583944,SW,Winter,Dec,very_high,1.754227
A,34.5,6.29334,231.4432482479467,199.23181091551706,210.81119201677947,228.2923765352044,228.31593254704714,0.09786983335080723,-0.013512235610992018,SW,Winter,Dec,very_high,1.7769438
A,34.5,6.29334,230.36191839620665,200.30295279720258,212.11539504600384,228.12704126726055,228.81367646474837,0.08602168336836402,-0.006720910913736278,SW,Winter,Dec,very_high,1.8400435
A,34.5,6.29334,229.28058854446667,201.39843317853334,213.37479295445883,227.97851069295533,229.28635987050652,0.07454392981369007,2.5171455100059248e-05,SW,Winter,Dec,very_high,1.8905884
A,33.0,6.29334,228.1992586927267,202.4480978338111,214.55170948075116,227.8280021207166,229.73398276432155,0.0636096036941618,0.006725368348638572,SW,Winter,Dec,very_high,1.8780401
A,33.0,6.29334,227.11792884098665,203.45194676303586,215.64614462488086,227.7147844299276,230.15654514619348,0.05319726089265875,0.013379024371670267,SW,Winter,Dec,very_high,1.8696016
A,34.4,4.88318,226.03659898924667,204.40997996620771,216.6580983868479,227.63885762058828,230.55404701612233,0.043287099223280556,0.019985471587681047,SW,Winter,Dec,very_high,1.9872804
A,34.5,4.88318,224.95526913750666,205.32219744332656,217.5875707666523,227.6002216926987,230.9264883741081,0.033860842073353936,0.02654402921743282,SW,Winter,Dec,very_high,2.0333118
A,33.6,6.66448,223.87393928576662,206.18859919439242,218.43456176429405,227.5988766462589,231.27386922015077,0.024901634052499677,0.033054003328803816,SW,Winter,Dec,very_high,1.9706589
A,33.0,6.66448,222.79260943402664,207.00918521940537,219.19907137977313,227.6348224812688,231.59618955425037,0.016393947436152745,0.03951468651760037,SW,Winter,Dec,very_high,1.9785613
