timeStamp,windDic (degree),windSpeed_5min,availableMW,farm,prediction
1/2/2019 3:30,,7.862526487,99,B,39.56255341
1/2/2019 3:35,,7.829298846,99,B,39.2167511
1/2/2019 3:40,,7.796071206,99,B,38.88837433
1/2/2019 3:45,,7.762843566,99,B,32.99297333
1/2/2019 3:50,,7.729615926,99,B,32.74193573
1/2/2019 3:55,,7.696388286,99,B,32.48096848
1/2/2019 4:00,345.6625,7.647924333,99,B,32.18431854
1/2/2019 4:05,,7.606771026,99,B,31.90114784
1/2/2019 4:10,,7.565617719,99,B,31.61975479
1/2/2019 4:15,,7.524464412,99,B,31.34844398
1/2/2019 4:20,,7.483311105,99,B,31.07688713
1/2/2019 4:25,,7.442157798,99,B,30.80776024
1/2/2019 4:30,,7.401004491,99,B,30.52878761
1/2/2019 4:35,,7.359851184,99,B,30.258255
1/2/2019 4:40,,7.318697877,99,B,29.98785591
1/2/2019 4:45,,7.27754457,99,B,29.7036953
1/2/2019 4:50,,7.236391263,99,B,29.41449547
1/2/2019 4:55,,7.195237956,99,B,29.10551262
1/2/2019 5:00,346.627,7.138848336,99,B,28.78145599
1/2/2019 5:05,,7.097693503,99,B,28.47343445
1/2/2019 5:10,,7.05653867,99,B,28.16652489
1/2/2019 5:15,,7.015383837,99,B,27.87029076
1/2/2019 5:20,,6.974229004,99,B,27.59899521
1/2/2019 5:25,,6.93307417,99,B,27.32541275
1/2/2019 5:30,,6.891919337,99,B,27.05442619
1/2/2019 5:35,,6.850764504,99,B,26.77194977
1/2/2019 5:40,,6.809609671,99,B,26.48297691
1/2/2019 5:45,,6.768454838,99,B,26.19566536
1/2/2019 5:50,,6.727300004,99,B,25.91020775
1/2/2019 5:55,,6.686145171,99,B,25.62599182
1/2/2019 6:00,348.309,6.629754025,99,B,25.37210655
1/2/2019 6:05,,6.585358261,99,B,25.08931351
1/2/2019 6:10,,6.540962497,99,B,24.82072258
1/2/2019 6:15,,6.496566733,99,B,24.52556419
1/2/2019 6:20,,6.45217097,99,B,24.22096825
1/2/2019 6:25,,6.407775206,99,B,23.92324257
1/2/2019 6:30,,6.363379442,99,B,23.57428551
1/2/2019 6:35,,6.318983678,99,B,23.24697495
1/2/2019 6:40,,6.274587914,99,B,22.94557381
1/2/2019 6:45,,6.23019215,99,B,22.63085747
1/2/2019 6:50,,6.185796386,99,B,22.31907082
1/2/2019 6:55,,6.141400622,99,B,22.01919746
1/2/2019 7:00,351.8385,6.081768545,99,B,21.77458572
1/2/2019 7:05,,6.037093864,99,B,21.51342201
1/2/2019 7:10,,5.992419184,99,B,21.26519585
1/2/2019 7:15,,5.947744503,99,B,21.02969933
1/2/2019 7:20,,5.903069822,99,B,20.79723549
1/2/2019 7:25,,5.858395141,99,B,20.58667564
1/2/2019 7:30,,5.81372046,99,B,20.38062096
1/2/2019 7:35,,5.769045779,99,B,20.14737511
1/2/2019 7:40,,5.724371098,99,B,19.91126442
1/2/2019 7:45,,5.679696417,99,B,19.69016838
1/2/2019 7:50,,5.635021737,99,B,19.5071125
1/2/2019 7:55,,5.590347056,99,B,19.33179092
1/2/2019 8:00,357.463,5.530436062,99,B,19.19443321
1/2/2019 8:05,,5.487606964,99,B,19.01075554
1/2/2019 8:10,,5.444777866,99,B,18.86680412
1/2/2019 8:15,,5.401948769,99,B,18.78448677
1/2/2019 8:20,,5.359119671,99,B,18.71971512
1/2/2019 8:25,,5.316290573,99,B,18.67572975
